,Requirements for,PHYSICS,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",
2,HSS Requirements,36 credits,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
11,   HSSA #9 - ENGL H290,,Tech & Professional Communications,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
12,General Requirements,48 credits,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
14,   CHEM 111,,Chemistry I          (Lect@3 + Lab@1),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
15,   CHEM 113,,Chemistry II         (Lect@3 + Lab@1),4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
16,  Comp Elect ______,,"BE100,CHE110,CSSE120,ME123",2 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
17,   EM 104,,Graphical Communications,2 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
18,   MA 111,,Calculus I,5 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
19,   MA 112,,Calculus II,5 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
20,   MA 113,,Calculus III,5 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
21,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
22,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
23,   MA 330,,Vector Calculus,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
24,   MA 366,,Boundary Value Problems,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
25,   MA 371,,Linear Algebra I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
26,PH Requirements,72 credits,,,,,
27,   PH 111,,Physics I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
28,   PH 112,,Physics II,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
29,   PH 113,,Physics III,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
30,   PH 235,,Many-Particle Physics,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
31,   PH 255,,Foundations of Modern Physics,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
32,   PH 292,,Physical Optics,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
33,   PH 314,,Theoretical Mechanics I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
34,   PH 316,,Electric and Magnetic Fields,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
35,   PH 317,,Electromagnetism,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
36,   PH 325,,Advanced Physics Lab I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
37,   PH 327,,Thermodynamics & Stat Mech I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
38,   PH 401,,Quantum Mechanics,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
39,   PH 405,,Semicond Materials & Devices I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
40,   PH 425,,Advanced Physics Lab II,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
41,   OE 450,,Laser Systems & Applications,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
42,,,Physics Elective #1 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
43,,,Physics Elective #2 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
44,,,Physics Elective #3 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
45,Electives,36 credits,,,,,
46,,,Technical Elective #1,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
47,,,Technical Elective #2,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
48,,,Technical Elective #3,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
49,,,Technical Elective #4,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
50,,,Technical Elective #5,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
51,,,Free Elective #1,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
52,,,Free Elective #2,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
53,,,Free Elective #3,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
54,,,Free Elective #4,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
55,,192 credits, - PH Total Credit Hours Required -,192 credits,,,
56,,,* At least two of these credits must be directed research (PH290 or PH490) with at least one credit of PH490,,,,
