Requirements for,BIOCHEMISTRY,,,...Catalog Year 2023-2024,,If this is the 1st/Primary
major and the Course Requirement to the left
will not be taken, note 
the Approved Course Substitution below.,If this is the 2nd major,
an X below indicates that
the course is required and
must be taken (or note the
Approved Course Substitution below).,,,NOTE about Elective course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any Electives unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken.,,,,,,,,
Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,,,,,,,,,,,,
Course Requirements,,Course Title,Cr
Hr,Term courses were or
will be taken,Course
Grade,,,,,,,,,,,,,
HSSA Requirements,36,,,,,,,,,,,,,,,,,
   HSSA #1 - HUM H190,,First-Year Writing Seminar,4,,,,,,,,,,,,,,,
   HSSA #2  ,,Humanities & Arts (H),4,,,,,,,,,,,,,,,
   HSSA #3  ,,Social Sciences (S),4,,,,,,,,,,,,,,,
   HSSA #4  ,,H or S or Language (L),4,,,,,,,,,,,,,,,
   HSSA #5  ,,H or S or L,4,,,,,,,,,,,,,,,
   HSSA #6  ,,H or S or L,4,,,,,,,,,,,,,,,
   HSSA #7  ,,H or S or L,4,,,,,,,,,,,,,,,
   HSSA #8  ,,H or S (cannot be a language),4,,,,,,,,,,,,,,,
   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4,,,,X,,,,,,,,,,,
General Requirements,36,,,,,,,,,,,,,,,,,
   RHIT 100,,Foundations for Rose-Hulman Success,1,,,,X,,,,,,,,,,,
   MA 111,,Calculus I,5,,,,X,,,,,,,,,,,
   MA 112,,Calculus II,5,,,,X,,,,,,,,,,,
   MA 113,,Calculus III,5,,,,X,,,,,,,,,,,
   MA 381,,Intro to Prob w/ Apps to Stats,4,,,,X,,,,,,,,,,,
   PH 111,,Physics I,4,,,,X,,,,,,,,,,,
   PH 112,,Physics II,4,,,,X,,,,,,,,,,,
   PH 113,,Physics III,4,,,,,,,,,,,,,,,
   Math/Sci Elec,,Math/Science Elective (200 level or higher),4,,,,,,,,,,,,,,,
BioChem Requiremts,104,,,,,,,,,,,,,,,,,
   BIO 110,,Cell Structure and Function,4,,,,X,,,,,,,,,,,
   BIO 210,,Mendelian & Molecular Genetics,4,,,,X,,,,,,,,,,,
   BIO 220,,Prokaryotic Cell & Mol Biology,4,,,,X,,,,,,,,,,,
   BIO 230,,Eukaryotic Cell & Mol. Biology,4,,,,X,,,,,,,,,,,
   CHEM 111,,Chemistry I         (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 113,,Chemistry II       (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 115,,Chemistry III      (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 200,,Career Preparation,1,,,,X,,,,,,,,,,,
   CHEM 225,,Analytical Chemistry I (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 251,,Organic Chemistry I   (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 252,,Organic Chemistry II  (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 253,,Organic Chemistry III (Lect@3,Lab@1),4,,,,X,,,,,,,,,,,
   CHEM 291,,Intro to UG Research,3,,,,X,,,,,,,,,,,
   CHEM 326,,Bioanalytical Chemistry,4,,,,X,,,,,,,,,,,
   CHEM 327,,Advanced Analytical Chemistry,4,,,,X,,, *CHE 303, CHE 304 and CHEM 360 may be
  substituted for CHEM 361 and CHEM 362,,,,,,,,
   CHEM 330,,Biochemistry I,4,,,,X,,,,,,,,,,,
   CHEM 331,,Biochemistry II,4,,,,X,,,,,,,,,,,
   CHEM 361,,Physical Chemistry I *,4,,,,X,,,,,,,,,,,
   CHEM 362,,Physical Chemistry II *,4,,,,X,,,,,,,,,,,
   CHEM 363,,Quantum Chem & Molec Spect,4,,,,X,,,,,,,,,,,
   CHEM 391,,Research Proposal,1,,,,X,,,,,,,,,,,
   CHEM 395,,Chemistry Seminar,0,,,,X,,,,,,,,,,,
   CHEM 430,,Advanced Biochemistry,4,,,,X,,,,,,,,,,,
   CHEM 433,,Biochemistry Lab,1,,,,X,,,,,,,,,,,
   CHEM 441,,Inorganic Chemistry I,4,,,,X,,,,,,,,,,,
   CHEM 490,,Chem Research:Total of 4 hours required,4,,,,X,,,,,,,,,,,
   CHEM 491,,Research Thesis,1,,,,X,,,,,,,,,,,
   CHEM 495,,Chemistry Seminar,0,,,,X,,,,,,,,,,,
   CHEM 496,,Chemistry Seminar,0,,,,X,,,,,,,,,,,
   CHEM 497,,Chemistry Presentation,1,,,,X,,,,,,,,,,,
   BC Elect #1,,Adv Chemistry or Biochemistry  Elective,4,,,,X,,,,,,,,,,,
   BC Elect #2,,Adv CHEM or BIO Elective,4,,,,X,,,,,,,,,,,
   BC Elect #3,,Adv Biology, Chemistry, BioChem Elect,4,,,,X,,,,,,,,,,,
Free Electives,16,,,,,,,,,,,,,,,,,
,,Free Elective,4,,,,,,,,,,,,,,,
,,Free Elective,4,,,,,,,,,,,,,,,
,,Free Elective,4,,,,,,,,,,,,,,,
,,Free Elective,4,,,,,,,,,,,,,,,
,192, - BC Total Credit Hours Required -,192,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
